sp_name;aesthe_score
Daector_reticulata;1302.5336
Daector_schmitti;1387.5432
Dascyllus_albisella;1563.3616
Dascyllus_aruanus;1672.289
Dascyllus_carneus;1647.8154
Dascyllus_flavicaudus;1727.7822
Dascyllus_marginatus;1525.0277
Dascyllus_melanurus;1650.104
Dascyllus_reticulatus;1499.2355
Dascyllus_strasburgi;1447.8727
Dascyllus_trimaculatus;1766.6998
Decapterus_koheru;1283.4854
Decapterus_macarellus;1191.333
Decapterus_muroadsi;1205.3492
Decapterus_punctatus;1204.082
Dellichthys_morelandi;1474.5162
Dendrochirus_barberi;1648.7328
Dendrochirus_zebra;1781.51
Dentex_dentex;1280.4333
Dermatolepis_dermatolepis;1669.2161
Diademichthys_lineatus;1483.4409
Diagramma_labiosum;1541.9493
Diagramma_melanacrum;1428.035
Dialommus_fuscus;1352.4775
Dicentrarchus_labrax;1200.6089
Dicentrarchus_punctatus;1245.9229
Dichistius_capensis;1236.5197
Dicotylichthys_punctulatus;1421.2706
Didogobius_amicuscaridis;1350.4763
Dinolestes_lewini;1195.0391
Diodon_holocanthus;1495.9473
Diodon_hystrix;1477.8584
Diodon_liturosus;1574.5275
Diodon_nicthemerus;1588.0167
Diplodus_annularis;1385.12
Diplodus_argenteus;1284.8044
Diplodus_capensis;1254.6116
Diplodus_cervinus;1354.4839
Diplodus_puntazzo;1244.285
Diplodus_sargus;1303.6282
Diplodus_vulgaris;1382.5284
Diplogrammus_goramensis;1448.7642
Diplogrammus_xenicus;1346.7904
Diploprion_bifasciatum;1562.479
